id,title,author,year
1077,Medical Apartheid,Harriet A. Washington,2007
1078,Gandhi's Truth,Erik H. Erikson,1969
1079,Crusader in Crinoline,Forrest Wilson,1942
1080,Harriet Beecher Stowe: A Life,Joan D. Hedrick,1994
1081,Grover Cleveland,Allan Nevins,1934
1082,Coleridge: Early Visions,Richard Holmes,1989
1083,A Problem from Hell: America and the Age of Genocide,Samantha Power,2002
1084,The Most Famous Man in America,Debby Applegate,2007
1085,And Their Children After Them,Dale Maharidge and Michael Williamson,1989
1086,Legacy of Ashes: The History of the CIA,Tim Weiner,2007
1087,The Life of Andrew Jackson,Marquis James,1937
1088,The Radicalism of the American Revolution,Gordon S. Wood,1992
1089,Oscar Wilde,Richard Ellmann,1988
1090,Why Survive? Being Old in America,Robert Neil Butler,1975
1091,Lindbergh,A. Scott Berg,1989
1092,God: A Biography,Jack Miles,1995
1093,Stilwell and the American Experience in China,Barbara Wertheim Tuchman,1971
1094,The Wisdom Of Crowds,James Surowiecki,2004
1095,The American Revolution: A Constitutional Interpretation,Charles Howard McIlwain,1924
1096,Arc of Justice,Kevin Boyle,2004
1097,Roosevelt and Hopkins,Robert E. Sherwood,1949
1098,Benjamin Franklin,Carl Van Doren,1938
1099,The Organization and Administration of the Union Army,Fred Albert Shannon,1928
1100,"Woodrow Wilson, Life and Letters",Ray Stannard Baker,1939
1101,John Paul Jones,Samuel Eliot Morison,1959
1102,In the Days of McKinley,Margaret Leech,1960
1103,"The Transformation of Virginia, 1740-1790",Rhys L. Isaac,1983
1104,The Fiery Trial: Abraham Lincoln and American Slavery,Eric Foner,2010
1105,The Course of American Democracy,Robert V. Remini,1984
1106,The Swerve: How the World Became Modern,Stephen Greenblatt,2011
1107,Carry Me Home,Diane McWhorter,2001
1108,Young Men and Fire,Norman Maclean,1993
1109,"The Launching of Modern American Science, 1846-1876",Robert V. Bruce,1987
1110,The Americans: The Democratic Experience,Daniel J. Boorstin,1973
1111,Freedom From Fear: The American People,David M. Kennedy,1999
1112,The Raven,Marquis James,1930
1113,The People's Choice,Herbert Agar,1933
1114,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,1999
1115,The Content of Our Character,Shelby Stelle,1989
1116,The Disruption of American Democracy,Roy Franklin Nichols,1948
1117,Malcolm X: A Life of Reinvention,Manning Marable,2011
1118,The Measure of Man,Joseph Wood Krutch,1954
1119,The Denial of Death,Ernest Becker,1973
1120,The War of Independence,Claude H. Van Tyne,1929
1121,The Price of Power,Seymour M. Hersh,1982
1122,American Prometheus,Kai Bird and Martin J. Sherwin,2005
1123,de Kooning,Mark Stevens and Annalyn Swan,2005
1124,Original Meanings,Jack N. Rakove,1997
1125,Personal History,Katharine Graham,1997
1126,A History of the United States,Edward Channing,1926
1127,Rough Crossings,Simon Schama,2005
1128,"Far From the Tree: Parents, Children and the Search for Identity",Andrew Solomon,2012
1129,Between War and Peace: The Potsdam Conference,Herbert Feis,1960
1130,"The Old Northwest, Pioneer Period 1815-1840",R. Carlyle Buley,1951
1131,The Era of Good Feelings,George Dangerfield,1952
1132,Huey Long,Thomas Harry Williams,1969
1133,The American Leonardo: The Life of Samuel F B. Morse,Carleton Mabee,1943
1134,The Reformation,Diarmaid MacCulloch,2003
1135,My Experiences in the World War,John J. Pershing,1932
1136,Washington's Crossing,David Hackett Fischer,2003
1137,The Ideological Origins of the American Revolution,Bernard Bailyn,1968
1138,"Gödel, Escher, Bach",Douglas Hofstadter,1979
1139,An Army at Dawn,Rick Atkinson,2002
1140,History of the American Frontier,Frederic L. Paxson,1924
1141,The Life and Letters of Walter H. Page,Burton J. Hendrick,1923
1142,Lincoln at Gettysburg,Garry Wills,1992
1143,Bearing the Cross: Martin Luther King Jr. and the Southern Christian Leadership Conference,David J. Garrow,1986
